"","x"
"146","18-Hydroxycorticosterone"
"147","Aldosterone"
"148","Estrone"
"149","Formic acid"
"150","Lanosterin"
"151","Guanosine diphosphate"
"152","Guanosine triphosphate"
"153","Dodecanoic acid"
"154","12-Hydroxydodecanoic acid"
"155","Uridine triphosphate"
"156","Glucose 1-phosphate"
"157","Uridine diphosphate glucose"
"158","Cortisone"
"159","L-Glutamic acid"
"160","Glycerol 3-phosphate"
"161","myo-Inositol"
"162","Uridine 5'-monophosphate"
"163","ARF5"
"164","M6PR"
"165","FKBP4"
"166","CYP26B1"
"167","NDUFAF7"
"168","FUCA2"
"169","HS3ST1"
"170","SEMA3F"
"171","CFTR"
"172","CYP51A1"
"173","USP28"
"174","SLC7A2"
"175","PDK4"
"176","USH1C"
"177","RALA"
"178","CACNG3"
"179","TMEM132A"
"180","DVL2"
"181","RPAP3"
"182","SKAP2"
"183","PRSS21"
"184","HOXA11"
"185","CX3CL1"
"186","TRAPPC6A"
"187","SPATA20"
"188","CEACAM7"
"189","RHBDD2"
"190","TSR3"
"191","OSBPL7"
"192","YBX2"
"193","ITGA3"
"194","TFAP2D"
"195","CRY1"
"196","PGLYRP1"
"197","CAMK1G"
"198","CD74"
"199","CPA1"
"200","SYPL1"
"201","RANBP9"
"202","CD4"
"203","TSPAN9"
"204","QPCTL"
"205","PPP5C"
"206","UBR7"
"207","MAP4K5"
"208","INMT"
"209","ERCC1"
"210","GPRC5A"
"211","HEBP1"
"212","COX15"
"213","MS4A12"
"214","RGPD5"
"215","XYLT2"
"216","SCTR"
"217","RALBP1"
"218","PSD"
"219","SYT13"
"220","SLC7A9"
"221","RTFDC1"
"222","RB1CC1"
"223","PIGQ"
"224","CDH17"
"225","B4GALT7"
"226","CHPF2"
"227","LRRC7"
"228","GABARAPL2"
"229","MYOC"
"230","FAM136A"
"231","OTC"
"232","HOXC8"
"233","MRI1"
"234","BOD1L1"
"235","TARBP1"
"236","RTN4R"
"237","PSMA4"
"238","ZPBP"
"239","LCP2"
"240","DCN"
"241","TNFRSF17"
"242","MRPS10"
"243","GRN"
"244","VAMP3"
"245","UTS2"
"246","RCN1"
"247","RFC2"
"248","PPP1R3F"
"249","KIAA2022"
"250","ARHGEF5"
"251","NFE2L3"
"252","TLL1"
"253","NNAT"
"254","CBLN4"
"255","CLDN11"
"256","RELT"
"257","PKP2"
"258","YIPF1"
"259","ADCK2"
"260","INPP4A"
"261","SLC2A3"
"262","STYK1"
"263","GNA11"
"264","CREB3L3"
"265","HDAC7"
"266","MRPS35"
"267","APPBP2"
"268","CA11"
"269","ISOC2"
"270","CD22"
"271","KCNQ1"
"272","TRPM5"
"273","TRIB2"
"274","OTUD5"
"275","GPKOW"
"276","AQR"
"277","ST6GALNAC1"
"278","LMCD1"
"279","PSMC4"
"280","CAMKK1"
"281","ACAP1"
"282","DERL2"
"283","NOX3"
"284","ANO8"
"285","KDM4B"
"286","ICAM3"
"287","CTTNBP2"
"288","ACTL6B"
"289","KIF22"
"290","PRSS22"
"291","CEACAM1"
"292","YTHDC2"
"293","TMEM161A"
"294","FOXJ2"
"295","TNFRSF1A"
"296","GOLGA5"
"297","CELSR3"
"298","PPP2R5B"
"299","PYGM"
"300","BCL3"
"301","PIGB"
"302","PDZD4"
"303","PRLH"
"304","FSTL3"
"305","EPHA8"
"306","TRIP13"
"307","KRT14"
"308","KRT20"
"309","SPP2"
"310","HSD17B10"
"311","FGF4"
"312","ST6GAL1"
"313","TIMM21"
"314","BPIFB2"
"315","REXO1"
"316","MKRN2"
"317","GPATCH1"
"318","KEAP1"
"319","P2RY10"
"320","TNS1"
"321","NGFR"
"322","NTN1"
"323","ISOC1"
"324","LAPTM4A"
"325","ADAM7"
"326","ASNS"
"327","PTPN18"
"328","DRD4"
"329","SCT"
"330","STK10"
"331","TBX21"
"332","MRPS34"
"333","CA12"
"334","MAP2K5"
"335","C12orf5"
"336","FGF20"
"337","MTMR7"
"338","CPB2"
"339","CDK13"
"340","TSPAN32"
"341","TRAM2"
"342","CLDN18"
"343","ROPN1"
"344","NDUFB4"
"345","HEATR6"
"346","ERLEC1"
"347","CLIC5"
"348","TMEM131"
"349","TMEM38A"
"350","ACTR6"
"351","FAP"
"352","DMRT3"
"353","GAL3ST2"
"354","UHRF1BP1"
"355","OSTM1"
"356","IMPG2"
"357","SLC13A1"
"358","PCDHB4"
"359","HSPB11"
"360","STRADB"
"361","PLOD1"
"362","OXCT1"
"363","PILRA"
"364","RRN3"
"365","MOGAT2"
"366","AQP2"
"367","DIMT1"
"368","EIF2AK1"
"369","NME8"
"370","EPDR1"
"371","MRPL28"
"372","HBQ1"
"373","CEACAM6"
"374","RBM22"
"375","HSD17B2"
"376","ZW10"
"377","ITGB4"
"378","PPP1R15A"
"379","TRIP6"
"380","ADAM11"
"381","SLC22A4"
"382","CETP"
"383","MT3"
"384","TFAP2C"
"385","SULT2B1"
"386","EPS8L1"
"387","REM1"
"388","PDRG1"
"389","TGM6"
"390","RALGAPA2"
"391","ESF1"
"392","SIRT4"
"393","TRMT6"
"394","UQCRC1"
"395","GMIP"
"396","LAG3"
"397","MLF2"
"398","OTUB2"
"399","TFAP4"
"400","SPG21"
"401","CHRD"
"402","THPO"
"403","GNPTG"
"404","GOLGA3"
"405","EFNB1"
"406","GLG1"
"407","DLL3"
"408","NAT14"
"409","AASDH"
"410","DLD"
"411","ABCC6"
"412","CMTM6"
"413","MYO15A"
"414","APOH"
"415","CCDC80"
"416","HAUS4"
"417","CEBPE"
"418","OSGEP"
"419","G2E3"
"420","TGM1"
"421","TBX15"
"422","TEKT2"
"423","UNC13D"
"424","XYLB"
"425","ADH1A"
"426","KRT23"
"427","CDC6"
"428","AAAS"
"429","CBX5"
"430","FMO2"
"431","DHPS"
"432","RAB26"
"433","PSMD5"
"434","NANS"
"435","SEMA4G"
"436","TPSD1"
"437","GSTA3"
"438","MAPK13"
"439","TMEM14A"
"440","PRRT1"
"441","ZNF184"
"442","VCL"
"443","SIRT1"
"444","TGFBR3"
"445","TMED1"
"446","MZF1"
"447","PSMD8"
"448","STX1B"
"449","EFNA2"
"450","ATP5D"
"451","FGF22"
"452","SMIM24"
"453","NDUFB7"
"454","TECR"
"455","TIMM13"
"456","CDC34"
"457","MISP"
"458","GADD45B"
"459","MADCAM1"
"460","MAPK12"
"461","SERPIND1"
"462","SNAP29"
"463","LZTR1"
"464","MMP11"
"465","MIF"
"466","DDTL"
"467","OSM"
"468","SF3A1"
"469","USP18"
"470","SEC14L3"
"471","SNRPD3"
"472","MAPK1"
"473","TCN2"
"474","CRYBB3"
"475","MORC2"
"476","SLC25A1"
"477","PLA2G3"
"478","LGALS2"
"479","PDXP"
"480","LGALS1"
"481","PIK3IP1"
"482","CRYBB1"
"483","ANKRD54"
"484","MICALL1"
"485","CENPM"
"486","DMC1"
"487","HSCB"
"488","TOMM22"
"489","RTDR1"
"490","XBP1"
"491","RTCB"
"492","GTPBP1"
"493","DNAL4"
"494","MIOX"
"495","APOBEC3D"
"496","RASL10A"
"497","HMGXB4"
"498","HMOX1"
"499","NIPSNAP1"
"500","MCM5"
"501","ARSA"
"502","RASD2"
"503","TTLL12"
"504","CBX7"
"505","ACR"
"506","CABP7"
"507","TAB1"
"508","PNPLA5"
"509","PNPLA3"
"510","MYH9"
"511","TXN2"
"512","EIF3D"
"513","PVALB"
"514","UPK3A"
"515","ST13"
"516","IL2RB"
"517","RBX1"
"518","L3MBTL2"
"519","CHADL"
"520","PHF5A"
"521","ACO2"
"522","PMM1"
"523","CERK"
"524","BRD1"
"525","ZBED4"
"526","HDAC10"
"527","RIPK3"
"528","PAPOLA"
"529","NID2"
"530","SNAPC1"
"531","SUPT16H"
"532","FKBP3"
"533","CTSG"
"534","GZMH"
"535","GZMB"
"536","AP4S1"
"537","POLE2"
"538","SOS2"
"539","PYGL"
"540","GNPNAT1"
"541","CNIH1"
"542","CGRRF1"
"543","ATP6V1D"
"544","PLEK2"
"545","PIGH"
"546","PSMA3"
"547","GSTZ1"
"548","AHSA1"
"549","SPTLC2"
"550","RIN3"
"551","ALKBH1"
"552","CHGA"
"553","DHRS7"
"554","SLC10A1"
"555","EIF5"
"556","ZFYVE21"
"557","MTHFD1"
"558","BDKRB1"
"559","VRK1"
"560","APEX1"
"561","PABPN1"
"562","CINP"
"563","PCK2"
"564","NFKBIA"
"565","PSME2"
"566","BRMS1L"
"567","PNN"
"568","CYP24A1"
"569","AURKA"
"570","ZFP64"
"571","GSS"
"572","PYGB"
"573","PROCR"
"574","MYBL2"
"575","R3HDML"
"576","SALL4"
"577","CSTF1"
"578","TPD52L2"
"579","CTSZ"
"580","TUBB1"
"581","SLCO4A1"
"582","BIRC7"
"583","UBOX5"
"584","EEF1A2"
"585","SRMS"
"586","TRIB3"
"587","CSNK2A1"
"588","MACROD2"
"589","SLC52A3"
"590","RSPO4"
"591","PROKR2"
"592","FERMT1"
"593","CDK5RAP1"
"594","SNTA1"
"595","OXT"
"596","CHMP4B"
"597","LBP"
"598","SLC32A1"
"599","CST4"
"600","AHCY"
"601","SPINT3"
"602","PIGU"
"603","ACOT8"
"604","APMAP"
"605","TXNL1"
"606","MYL12A"
"607","RNF125"
"608","IDH3G"
"609","SLC25A43"
"610","MXRA5"
"611","PSMD10"
"612","STS"
"613","TBL1X"
"614","PGRMC1"
"615","NXT2"
"616","GUCY2F"
"617","ATP1B4"
"618","PAGE4"
"619","GLRA2"
"620","STAG2"
"621","F9"
"622","ABCD1"
"623","KCND1"
"624","PQBP1"
"625","PCSK1N"
"626","RAB40AL"
"627","GPR50"
"628","RP2"
"629","USP11"
"630","TIMP1"
"631","ITIH6"
"632","GLA"
"633","ATP12A"
"634","MLNR"
"635","SGCG"
"636","OLFM4"
"637","NTHL1"
"638","ZNF263"
"639","MMP2"
"640","ORC6"
"641","CORO1A"
"642","MT4"
"643","NUTF2"
"644","CBLN1"
"645","ARL2BP"
"646","PLLP"
"647","CCL22"
"648","DHODH"
"649","CCL17"
"650","POLR2C"
"651","PARD6A"
"652","MMP15"
"653","CCDC113"
"654","NME3"
"655","PSMD7"
"656","SETD6"
"657","SMPD3"
"658","PLA2G15"
"659","FA2H"
"660","CMC2"
"661","PDIA2"
"662","ARHGDIG"
"663","MPG"
"664","HSDL1"
"665","WFDC1"
"666","TSC2"
"667","NME4"
"668","DECR2"
"669","STUB1"
"670","MEFV"
"671","CRYM"
"672","CAPN15"
"673","AQP8"
"674","USP31"
"675","TOX3"
"676","MAZ"
"677","CDIPT"
"678","SLC6A2"
"679","MGA"
"680","AQP9"
"681","CSK"
"682","MTFMT"
"683","RASL12"
"684","CTSH"
"685","EHD4"
"686","TGM5"
"687","GABPB1"
"688","SCG3"
"689","DNAJC17"
"690","RHOV"
"691","VPS18"
"692","OIP5"
"693","BLOC1S6"
"694","EXTL3"
"695","AGO2"
"696","PAG1"
"697","TG"
"698","ZFAND1"
"699","RP1"
"700","RIPK2"
"701","CPQ"
"702","DECR1"
"703","SFRP1"
"704","PLAT"
"705","DKK4"
"706","GDAP1"
"707","EIF3E"
"708","EMC2"
"709","CHRAC1"
"710","PYCRL"
"711","MTMR9"
"712","DCTN6"
"713","GSR"
"714","TNFRSF10A"
"715","PPP2CB"
"716","NEFM"
"717","KCTD9"
"718","EXOSC5"
"719","PAF1"
"720","CYP4F3"
"721","TULP2"
"722","DHDH"
"723","ECH1"
"724","HNRNPL"
"725","LHB"
"726","KCNA7"
"727","RELB"
"728","CLASRP"
"729","LIN7B"
"730","FCGRT"
"731","CKM"
"732","PEX11G"
"733","SLC17A7"
"734","RNASEH2A"
"735","SF3A2"
"736","AMH"
"737","RETN"
"738","RSPH6A"
"739","TBC1D17"
"740","AES"
"741","SGTA"
"742","CYP4F2"
"743","EPHX3"
"744","SLC1A6"
"745","LGALS13"
"746","FBL"
"747","CLC"
"748","TBCB"
"749","FSD1"
"750","POLR2I"
"751","APLP1"
"752","TGFB1"
"753","CEACAM4"
"754","PLIN3"
"755","CD79A"
"756","NKG7"
"757","ICAM5"
"758","CEACAM5"
"759","CRX"
"760","SULT2A1"
"761","CDC37"
"762","RABAC1"
"763","HAS1"
"764","RAB3D"
"765","DBP"
"766","EPOR"
"767","RASIP1"
"768","GCDH"
"769","DNASE2"
"770","RPL18A"
"771","SLC5A5"
"772","ARRDC2"
"773","PIK3R2"
"774","RAB3A"
"775","COMP"
"776","TMEM147"
"777","GAPDHS"
"778","USF2"
"779","ERF"
"780","GSK3A"
"781","SIPA1L3"
"782","CADM4"
"783","PON1"
"784","CYP3A43"
"785","ABCF2"
"786","HGF"
"787","LAMB1"
"788","UBE2D4"
"789","WNT16"
"790","CPA2"
"791","CPA4"
"792","GTPBP10"
"793","TFPI2"
"794","BET1"
"795","NAMPT"
"796","TWISTNB"
"797","PON2"
"798","ITGB8"
"799","HBP1"
"800","SP4"
"801","DLX5"
"802","MPP6"
"803","OGDH"
"804","CAV2"
"805","HOXA2"
"806","LFNG"
"807","HOXA5"
"808","TSPAN12"
"809","HOXA13"
"810","CHN2"
"811","ABHD11"
"812","FKBP14"
"813","STX1A"
"814","NOD1"
"815","PDAP1"
"816","CYP3A5"
"817","SNX8"
"818","WASL"
"819","HYAL4"
"820","AIMP2"
"821","PCOLCE"
"822","RBM28"
"823","SERPINE1"
"824","MOGAT3"
"825","PLOD3"
"826","RPA3"
"827","FIS1"
"828","GLCCI1"
"829","MYL10"
"830","CEP41"
"831","MEST"
"832","GIMAP2"
"833","PSMA2"
"834","MRPL32"
"835","AEBP1"
"836","MYL7"
"837","GCK"
"838","YKT6"
"839","CLIP2"
"840","CHMP5"
"841","FKTN"
"842","SEC61B"
"843","C5"
"844","TNFSF8"
"845","PLGRKT"
"846","EDF1"
"847","SETX"
"848","C8G"
"849","BLNK"
"850","CYP26A1"
"851","ATE1"
"852","SFXN3"
"853","FBXL15"
"854","OBFC1"
"855","DNAJC12"
"856","PPIF"
"857","TBC1D12"
"858","MPO"
"859","ST6GALNAC2"
"860","DHX33"
"861","UTP18"
"862","P2RX5"
"863","EPX"
"864","CRYBA1"
"865","NUFIP2"
"866","RPL19"
"867","CSF3"
"868","SUPT4H1"
"869","WNT3"
"870","SHPK"
"871","TAX1BP3"
"872","P2RX1"
"873","GOSR2"
"874","PNPO"
"875","RPS6KB1"
"876","PIGL"
"877","PFN1"
"878","SLC25A11"
"879","RASD1"
"880","C1QBP"
"881","CPD"
"882","GOSR1"
"883","CCDC47"
"884","MED31"
"885","DRG2"
"886","SYNGR2"
"887","DDX5"
"888","ASIC2"
"889","CCL2"
"890","CCL1"
"891","CCL13"
"892","KAT2A"
"893","NAGLU"
"894","ABI3"
"895","COL1A1"
"896","MRPL27"
"897","LRRC59"
"898","HDAC5"
"899","DUSP3"
"900","CACNG1"
"901","HLF"
"902","EFNB3"
"903","RCVRN"
"904","MYH1"
"905","VTN"
"906","TNFAIP1"
"907","TMEM97"
"908","FOXN1"
"909","ALDOC"
"910","CD38"
"911","IBSP"
"912","LAP3"
"913","CXCL6"
"914","JADE1"
"915","AFM"
"916","PHOX2B"
"917","GNRHR"
"918","CWH43"
"919","SULT1E1"
"920","NFKB1"
"921","MANBA"
"922","IL2"
"923","WFS1"
"924","GAR1"
"925","FRG1"
"926","CLNK"
"927","CD82"
"928","SPI1"
"929","CTSC"
"930","ZPR1"
"931","CRTAM"
"932","DTX4"
"933","UNC93B1"
"934","PUS3"
"935","CCND1"
"936","CCDC86"
"937","PRPF19"
"938","TMEM109"
"939","PANX1"
"940","APOC3"
"941","IL10RA"
"942","GALNT18"
"943","PDHX"
"944","SLC15A3"
"945","SCGB2A2"
"946","DGAT2"
"947","C11orf58"
"948","YBX3"
"949","KITLG"
"950","SART3"
"951","SLC25A3"
"952","POLR3B"
"953","CD69"
"954","PRDM4"
"955","CLEC2B"
"956","SELPLG"
"957","ASIC1"
"958","DAO"
"959","KCTD10"
"960","MLEC"
"961","SYT10"
"962","CYP27B1"
"963","MYF6"
"964","MYF5"
"965","GLI1"
"966","PPM1H"
"967","LTA4H"
"968","PARP11"
"969","ARPC3"
"970","FGF6"
"971","MYL2"
"972","RAD51AP1"
"973","AKAP3"
"974","CREBL2"
"975","CDKN1B"
"976","LTBR"
"977","OAS3"
"978","ART4"
"979","MGP"
"980","ARHGDIB"
"981","RERGL"
"982","FZD10"
"983","IFNG"
"984","NUP107"
"985","CNOT2"
"986","KRR1"
"987","MRPL51"
"988","GAPDH"
"989","ACRBP"
"990","GNB3"
"991","CHPT1"
"992","USP5"
"993","TPI1"
"994","APOBEC1"
"995","NANOG"
"996","GOLT1B"
"997","PRKAB1"
"998","CMAS"
"999","HCFC2"
"1000","CLEC4A"
"1001","AICDA"
"1002","RAB35"
"1003","COX6A1"
"1004","SRSF9"
"1005","FGFR1OP2"
"1006","KLRB1"
"1007","GCLC"
"1008","IYD"
"1009","RSPH4A"
"1010","ADTRP"
"1011","ASF1A"
"1012","HINT3"
"1013","SLC44A4"
"1014","FBXO5"
"1015","TULP1"
"1016","MAPK14"
"1017","STK38"
"1018","HLA-DOA"
"1019","CAP2"
"1020","GPR63"
"1021","GPLD1"
"1022","ACOT13"
"1023","RPS12"
"1024","B3GAT2"
"1025","GMNN"
"1026","SNX3"
"1027","ZBTB24"
"1028","FIG4"
"1029","UNC93A"
"1030","MDFI"
"1031","BYSL"
"1032","GUCA1B"
"1033","PRPH2"
"1034","DNPH1"
"1035","EXOC2"
"1036","TMEM30A"
"1037","LAMA4"
"1038","PRSS16"
"1039","MEP1A"
"1040","SKIV2L2"
"1041","ISL1"
"1042","SLC6A7"
"1043","POU4F3"
"1044","HARS2"
"1045","NUDT12"
"1046","PAPD7"
"1047","HBEGF"
"1048","LOX"
"1049","GZMK"
"1050","CDH9"
"1051","SPARC"
"1052","HAND1"
"1053","PCDHB6"
"1054","PCDHB7"
"1055","GRM6"
"1056","THG1L"
"1057","TTC1"
"1058","LNPEP"
"1059","AGXT2"
"1060","IL4"
"1061","IL5"
"1062","ST8SIA4"
"1063","PCDH12"
"1064","SKP1"
"1065","NUP155"
"1066","NR3C1"
"1067","TRIM23"
"1068","RARS"
"1069","CDX1"
"1070","BNIP1"
"1071","SLC7A14"
"1072","SEMA3G"
"1073","ZMYND10"
"1074","LTF"
"1075","MLH1"
"1076","EHHADH"
"1077","CRBN"
"1078","HRG"
"1079","UBE3A"
"1080","RBP2"
"1081","RBP1"
"1082","PFKFB4"
"1083","HES1"
"1084","GNAT1"
"1085","NPRL2"
"1086","GNB4"
"1087","MORC1"
"1088","UMPS"
"1089","ABTB1"
"1090","KLHL18"
"1091","RRP9"
"1092","AADAC"
"1093","EIF1B"
"1094","ZBTB47"
"1095","TNNC1"
"1096","NKTR"
"1097","NEK4"
"1098","WDFY1"
"1099","EIF2AK2"
"1100","DAZAP1"
"1101","HEATR5B"
"1102","MAPRE3"
"1103","TMSB10"
"1104","MSH2"
"1105","NCK2"
"1106","TFPI"
"1107","SLC11A1"
"1108","APOB"
"1109","TTL"
"1110","FAHD2A"
"1111","SF3B6"
"1112","SLC30A3"
"1113","SNX17"
"1114","REEP6"
"1115","MOGS"
"1116","TTC31"
"1117","NDUFS7"
"1118","PCGF1"
"1119","ACADL"
"1120","EVA1A"
"1121","REG1A"
"1122","IGFBP2"
"1123","IGFBP5"
"1124","KCNJ13"
"1125","GGCX"
"1126","NEU2"
"1127","HSPE1"
"1128","WNT6"
"1129","IL1RL1"
"1130","SLC9A2"
"1131","AZU1"
"1132","PPP1R7"
"1133","PROC"
"1134","ID2"
"1135","ODC1"
"1136","GORASP2"
"1137","CEBPZ"
"1138","RMDN2"
"1139","DLX2"
"1140","SLC1A4"
"1141","ORC2"
"1142","PPP3R1"
"1143","PLEK"
"1144","PRTN3"
"1145","KISS1R"
"1146","GRIN3B"
"1147","VAX2"
"1148","ATP6V1B1"
"1149","MSH6"
"1150","PLEKHA3"
"1151","SPR"
"1152","CLCN6"
"1153","ENO1"
"1154","SARS"
"1155","CLCA1"
"1156","BCL9"
"1157","ANGPTL1"
"1158","TCEANC2"
"1159","TMEM59"
"1160","OPRD1"
"1161","WDR77"
"1162","MAD2L2"
"1163","MFN2"
"1164","SLC35D1"
"1165","PRDM2"
"1166","RGS2"
"1167","WARS2"
"1168","NT5C1A"
"1169","AKR7A2"
"1170","LEPRE1"
"1171","SLC19A2"
"1172","SELL"
"1173","FMO6P"
"1174","VAMP4"
"1175","SYF2"
"1176","SLC5A9"
"1177","CTSD"
"1178","A4GNT"
"1179","MMP8"
"1180","APOA1"
"1181","SLC8A2"
"1182","TNNT2"
"1183","CAMSAP2"
"1184","ATIC"
"1185","TNP1"
"1186","FASTKD2"
"1187","TTR"
"1188","DOPEY1"
"1189","FILIP1"
"1190","SPACA1"
"1191","TBPL1"
"1192","ADAT2"
"1193","PMFBP1"
"1194","MED28"
"1195","RNF103"
"1196","RPN2"
"1197","SOGA1"
"1198","PKD2"
"1199","ABCG2"
"1200","STBD1"
"1201","CCNI"
"1202","RARRES1"
"1203","C2orf43"
"1204","FGF23"
"1205","ELL2"
"1206","NDUFB3"
"1207","ZFAND5"
"1208","GDA"
"1209","C2orf40"
"1210","CPSF3"
"1211","DDX55"
"1212","CCDC92"
"1213","FKBP15"
"1214","HDHD3"
"1215","VPS4B"
"1216","SERPINB10"
"1217","GSC"
"1218","ADCK1"
"1219","IFI27L2"
"1220","NEK9"
"1221","ACYP1"
"1222","IFT43"
"1223","IRF2BPL"
"1224","ACOT2"
"1225","FLVCR2"
"1226","TGFB3"
"1227","PAPOLG"
"1228","TP53I3"
"1229","RHOQ"
"1230","TMEM214"
"1231","ATAD2B"
"1232","FAM98A"
"1233","YIPF4"
"1234","LGALSL"
"1235","TMEM180"
"1236","PPP1R3C"
"1237","PRLHR"
"1238","HOXB8"
"1239","HOXB5"
"1240","HOXB7"
"1241","DUSP1"
"1242","PANK3"
"1243","MSX2"
"1244","IFNA7"
"1245","LRP11"
"1246","CCDC170"
"1247","ARAP3"
"1248","SLC25A2"
"1249","PRRX1"
"1250","TNN"
"1251","TTLL2"
"1252","PDZD11"
"1253","NUDCD1"
"1254","ELF1"
"1255","ALG5"
"1256","MYOT"
"1257","EGR1"
"1258","PFN2"
"1259","NFYB"
"1260","CCDC53"
"1261","DUSP4"
"1262","SORBS3"
"1263","TARDBP"
"1264","RDH10"
"1265","DLX4"
"1266","COIL"
"1267","TBX2"
"1268","SLC35B1"
"1269","TBX4"
"1270","TEX14"
"1271","NCAPH"
"1272","MND1"
"1273","TSHZ3"
"1274","PLBD1"
"1275","KLRK1"
"1276","PYROXD1"
"1277","IAPP"
"1278","KCNJ8"
"1279","TFG"
"1280","KALRN"
"1281","NAA50"
"1282","MAPK8IP1"
"1283","PEX16"
"1284","DEPDC7"
"1285","CAT"
"1286","GJA3"
"1287","GHSR"
"1288","TNFSF10"
"1289","CPXM2"
"1290","GSTM2"
"1291","ACVR2A"
"1292","POLK"
"1293","FLT3"
"1294","RASL11A"
